day,mean,min,max,day_of_year
2022-12-18,0.09773416666666666,0.0814,0.14,352
2022-12-19,0.08106833333333334,0.041,0.13,353
2022-12-20,0.06493083333333334,0.00411,0.107,354
2022-12-21,0.06408833333333333,0.03668,0.09576000000000001,355
2022-12-22,0.05203041666666666,0.03,0.07574,356
2022-12-23,0.022340833333333334,0.00412,0.0679,357
2022-12-24,0.031434583333333335,0.01218,0.0711,358
2022-12-25,0.015242916666666667,0.00145,0.05026,359
2022-12-26,0.07732333333333334,0.0241,0.18925999999999998,360
2022-12-27,0.10949249999999999,0.062090000000000006,0.16469,361
2022-12-28,0.041410833333333334,0.014150000000000001,0.07973999999999999,362
2022-12-29,0.0161875,2.9999999999999997e-05,0.0325,363
2022-12-30,0.0060225,0.00057,0.02178,364
2022-12-31,0.0015687499999999998,0.0,0.011009999999999999,365
