datetime,units,updated_at,value,variable
2022-12-29T14:10:31Z,w,2022-12-29T14:30:03Z,25.285714,pv_1_pac
2022-12-29T14:05:31Z,w,2022-12-29T14:30:03Z,44.857143,pv_1_pac
2022-12-29T14:00:31Z,w,2022-12-29T14:30:03Z,53.5,pv_1_pac
2022-12-29T13:55:31Z,w,2022-12-29T14:30:03Z,52.625,pv_1_pac
2022-12-29T13:50:31Z,w,2022-12-29T14:00:03Z,48.375,pv_1_pac
2022-12-29T13:45:31Z,w,2022-12-29T14:00:03Z,58.875,pv_1_pac
2022-12-29T13:40:31Z,w,2022-12-29T14:00:03Z,41.625,pv_1_pac
2022-12-29T13:35:31Z,w,2022-12-29T14:00:04Z,44.428571,pv_1_pac
2022-12-29T13:30:32Z,w,2022-12-29T14:00:04Z,63.75,pv_1_pac
2022-12-29T13:25:32Z,w,2022-12-29T14:00:04Z,71.0,pv_1_pac
2022-12-29T13:20:32Z,w,2022-12-29T14:00:04Z,49.0,pv_1_pac
2022-12-29T13:15:32Z,w,2022-12-29T13:30:04Z,39.222222,pv_1_pac
2022-12-29T13:10:32Z,w,2022-12-29T13:30:04Z,36.75,pv_1_pac
2022-12-29T13:05:32Z,w,2022-12-29T13:30:04Z,52.142857,pv_1_pac
2022-12-29T13:00:32Z,w,2022-12-29T13:30:04Z,36.5,pv_1_pac
2022-12-29T12:55:32Z,w,2022-12-29T13:30:04Z,99.142857,pv_1_pac
2022-12-29T12:50:32Z,w,2022-12-29T13:00:03Z,97.0,pv_1_pac
2022-12-29T12:45:32Z,w,2022-12-29T13:00:03Z,86.75,pv_1_pac
2022-12-29T12:40:32Z,w,2022-12-29T13:00:03Z,67.25,pv_1_pac
2022-12-29T12:35:32Z,w,2022-12-29T13:00:03Z,52.142857,pv_1_pac
2022-12-29T12:30:32Z,w,2022-12-29T13:00:03Z,53.75,pv_1_pac
2022-12-29T12:25:32Z,w,2022-12-29T13:00:03Z,60.625,pv_1_pac
2022-12-29T12:20:32Z,w,2022-12-29T13:00:03Z,41.875,pv_1_pac
2022-12-29T12:15:31Z,w,2022-12-29T12:30:03Z,29.5,pv_1_pac
2022-12-29T12:10:31Z,w,2022-12-29T12:30:03Z,56.125,pv_1_pac
2022-12-29T12:05:31Z,w,2022-12-29T12:30:03Z,55.5,pv_1_pac
2022-12-29T12:00:31Z,w,2022-12-29T12:30:03Z,51.333333,pv_1_pac
2022-12-29T11:55:31Z,w,2022-12-29T12:30:03Z,51.5,pv_1_pac
2022-12-29T11:50:31Z,w,2022-12-29T12:30:03Z,39.0,pv_1_pac
2022-12-29T11:45:30Z,w,2022-12-29T12:00:04Z,45.375,pv_1_pac
